OTU;abundance;amplicon;length;chimera;spread;identity;taxonomy;L072;L177;L187;L028;L052;L062;L067;L116;L156;L109;L154;L166;L008;L018;L034;L046;L106;L120;L016;L039;L075;L081;L165;L176;L188;L199;L053;L060;L076;L105;L157;L203;L013;L015;L027;L164;L167;L043;L108;L121;L178;L194;L196;L010;L088;L098;L118;L185;L007;L063;L136;L056;L182;L197;L069;L143;L091;L100;L110;L004;L163;L202
32;91115;0b646e7cbe67e548cf8fa160de7ca15a67504975;378;N;148;97.9;MG829398.1.1620 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Mucoromycota|Glomeromycotina|Glomeromycetes|Glomerales|Glomeraceae|uncultured|Glomeromycotina_sp.;0;0;0;0;0;0;0;0;0;0;0;0;0.00416335763964094;0.00366581919233726;0.00189238110909988;0.002238016772829;0;0.0115542773531118;0.0144020418084589;0.00327819435547685;0.010533035429301;0;0;0.0504347826086957;0;0;0;0.0250207400033184;0.00166763341067285;0.0701018573996405;0.00292476299334364;0.00361323890735655;0.0353920888272033;0;0.0630117791303586;0;0.0357076780758557;0;0;0;0;0;0.00218321543969959;0;0;0;0;0.0198487712665406;0;0;0;0;0;0;0;0;0;0;0;0.00166346296022475;0.007104205084797;0.00530701936232846
33;90636;df080dbf87ce02ce967f0b0db37204c51540b7e5;377;N;49;93.4;M59760.1.1718 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Polyporales|Polyporaceae|Spongipellis|Spongipellis_unicolor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.753155275620838;0;0;0;0;0;0
34;84080;36f52ce4d812bd6dd7b19b8fbf4bb7d38cbf390c;379;N;92;100;MF476083.1.1565 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Atractiellomycetes|Atractiellales|Atractiella|Atractiella_rhizophila;0;0.0164449641865224;0;0.00613526453817097;0.00233303422638123;0;0;0.0181641015390766;0;0;0;0;0.00221403990084952;0;0;0;0.0015255530129672;0.00242185726178763;0.0109382596013612;0.0551640981197483;0.0903642231443061;0.52690635647985;0.383250964728184;0.0678260869565217;0.0135278796576835;0.450062502694082;0;0.105259664841546;0.0507298917246713;0.0166819084860143;0.236603240771868;0.177289589054295;0.00902151283830673;0;0;0;0;0;0;0;0;0;0;0;0.00140163098878695;0;0;0;0.00291036088474971;0;0;0.0011932955150447;0.00305870102824418;0;0.00286322763842877;0;0.00508773751427681;0.0282452707110241;0.00634000098294589;0;0.00151153299676532;0
28;78256;455a7b351f70782c2d29d42efe1339e61e685683;375;N;266;100;KU359464.1.1773 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Mucoromycota|Mortierellomycotina|Incertae_Sedis|Mortierellales|Mortierellaceae|Mortierella|uncultured_fungus;0;0;0;0.00363303900103457;0.0058454044353288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0166208989738402;0;0;0;0;0;0;0;0.00185256871094398;0;0;0;0;0;0;0;0;0;0;0.00148599830903641;0;0;0;0;0;0;0.00260926288323549;0;0;0;0
37;69332;1e008fe792fea2f62c60e46116989d0d9d4fb7ac;378;N;39;97.9;AF026589.1.1713 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricales|Tricholomataceae|Panellus|Panellus_stipticus;0;0;0;0;0;0;0;0;0;0.110338364407616;0;0.0303935160499093;0.206627680311891;0.700585348548454;0.866244309143766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00104215692866268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00141776937618147;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;67876;8c4c18bf7ecefe41f1396c4e7c257d44343754f0;377;N;78;96.3;KJ417168.1.1773 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricales|Tricholomataceae|Pogonoloma|Pogonoloma_macrocephalum;0;0;0;0.16495440656353;0.298423279066786;0;0;0.344968019188487;0.0176099965729049;0;0;0;0;0;0;0;0;0;0;0;0;0.00105745505816003;0.00155710513844696;0.00173913043478261;0;0.0933229880598302;0;0;0;0;0;0;0;0;0;0;0.100555041628122;0.00305071087319404;0;0;0;0;0;0.00389682686954908;0;0;0;0;0.0110593713620489;0;0.00389434039609541;0.031117475353858;0;0.192363881553071;0;0.00468783806524509;0.113747274426332;0.422309197651663;0.036221556003342;0;0.0310468877535597;0.00899705626269746
39;67697;ca6dadb2e36af6c90e58e618e51f096337b86b9a;380;N;119;93.7;DQ440631.1.1793 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricales|Agrocybe|Agrocybe_erebia;0;0.0690688495833942;0;0.218656016168227;0.0980387129855147;0.00155864700134928;0;0.182990205876474;0.00113357762370495;0;0;0;0.00154020167015619;0.0978537219890026;0.00400416872360266;0;0.00146198830409357;0.00645828603143369;0;0.0775839330796187;0.00695109408802355;0.0149806133239337;0.179710243043802;0.0048695652173913;0;0.0451743609638346;0.0259285213735109;0.00311929649908744;0;0.037463340796569;0.00406777381832851;0;0;0.0320289558150652;0.223715899636555;0.0214088397790055;0;0.0903125539630461;0;0.0428855831443898;0;0;0.00681163217186272;0.0118760437929115;0;0;0;0.00401701323251418;0.0663562281722934;0.00292153589315526;0.0335374445953217;0.0741311890730848;0.0540370514989804;0;0.00932323710364411;0;0.244834388952341;0.0279843444227006;0.0551924116577382;0;0;0
41;62894;1ac2f16b81efd4082929a5ec18daf60df76bb51a;377;N;127;99.2;DQ898712.1.1762 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Corticiales|Corticiaceae|Sistotrema|Sistotrema_brinkmannii;0.00278695589714122;0.00182721824294694;0;0;0;0;0;0;0;0.00138107921475782;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00243478260869565;0;0;0;0;0;0;0;0;0;0;0;0.00103591160220994;0;0;0;0;0.00331296053007368;0;0;0;0;0;0;0.00212665406427221;0;0;0;0;0;0;0;0;0;0;0;0.0011089753068165;0;0
42;61696;1773e30ea86dad31ea9e63e598839b36f66ada00;379;N;36;97.6;KX812537.1.1667 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Atractiellomycetes|Atractiellales|Neogloea|Neogloea_sp._RJB_6478-5;0;0;0.980957968850011;0;0;0;0;0;0;0;0.00606021944373565;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00265773667145059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00864318330071755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;60656;7937a669dde66803462ccbbe0ad3a3fd4bac833e;378;N;201;99.2;MG829575.1.1651 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Mucoromycota|Glomeromycotina|Glomeromycetes|Glomerales|Glomeraceae|Rhizophagus|Glomeromycotina_sp.;0;0.00204648443210057;0;0.0147968144744123;0.011947186258172;0;0.00159786950732357;0.0159404357385569;0.0029262120053779;0;0;0;0.201742353139364;0.00898716963282682;0;0;0.198449021103483;0.00792149146043038;0.00735294117647059;0.0483816270394514;0.116785473631947;0;0.00788707602735089;0.117565217391304;0.00111624940200925;0.00577611103926893;0.269728959920429;0.0262817322050772;0.0559744779582367;0.0698811138090883;0.0660256841255967;0.0352652117358;0.0145732130464955;0.00744382981629448;0.0134430967289924;0.00897790055248619;0.0155411655874191;0.00552581592125712;0;0.00876513852789913;0.00314160050265608;0;0;0.00185563184264242;0.00726299694189602;0.00108381502890173;0;0;0.0157159487776484;0;0.00522661474212805;0.00187255603899323;0.0150114972449998;0;0.00354945575011832;0;0.0156266223652788;0.0129158512720157;0.00196589177765764;0.00225491645719355;0.00169291695637716;0
44;59873;7abe67417a47f4ae9d6f8ee2573abe371da4bc69;377;N;183;97.4;EF023520.1.1793 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|uncultured_Tremellaceae;0;0.00233883935097208;0;0;0.00607614408409178;0.0103754710836086;0.00482319869803225;0.00672096741954827;0.00324255924920254;0.0080398540001973;0.0245598366930339;0.00693185453769862;0.17194907708228;0;0;0;0.011441647597254;0.0111254067963369;0;0;0.00453949001666844;0;0;0.0260869565217391;0.00116940413543826;0;0.00311956054886181;0.188319230131077;0.0466212296983759;0.0361073444546057;0.00470651516170241;0.0590644120055885;0.00520471894517696;0.142457146759544;0.00118229189473223;0;0.00245143385753932;0.00500777067863927;0.0106057589633142;0.0815130232815351;0.0269035243045639;0.0543037884711067;0;0.00185563184264242;0.101427115188583;0;0;0;0.0110593713620489;0.0013355592654424;0.137608567548871;0;0;0.00115187953025791;0;0;0.00140172360087218;0.0349641226353555;0;0.0024397456749963;0.0513014299102149;0.00924582279530661
14;59380;1b960075e1a639230db7897b9ef55acd2bebfe5b;377;N;163;97.6;KF993708.1.1762 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Archaeorhizomycetes|Archaeorhizomycetales|Archaeorhizomycetaceae|Archaeorhizomyces|Archaeorhizomyces_borealis;0;0;0;0.0613045256598417;0.00820407640046148;0;0;0.00959424345392764;0.00121266443466111;0;0;0;0;0;0;0;0;0;0;0;0;0.00220303137116673;0;0;0;0.0164662269925428;0.00375251486312363;0.00119462419113987;0;0;0;0;0;0;0;0.00138121546961326;0;0;0;0;0;0;0.120164177801065;0;0;0;0;0;0;0;0.00530347672362994;0.0400212957353454;0;0;0;0;0.0247118679264874;0;0;0;0.0468877535596602;0.00982627803806128
47;55475;6c099546e23ff7a27ae5ef310ce4ae3411dd3684;377;N;127;98.7;KC670791.1.1770 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Cantharellales|Ceratobasidiaceae|Rhizoctonia|uncultured_fungus;0;0;0;0;0.00317907960517882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00166684399049544;0;0;0;0;0.00146558041294883;0;0;0;0.0225789158336224;0;0;0;0;0.00280246967640233;0;0.00564292321924144;0.00207218097047142;0;0.00143781452192667;0;0;0;0;0.00101936799184506;0;0;0;0;0;0;0;0;0.00648985784120919;0;0.0387768348678991;0;0;0;0.148750554487653;0.0403881616735693;0.0149259919565488
49;53481;3a38e893684cece54a602f132fa2403cef5e3d8f;377;N;75;99.2;JJNP01002073.1.1784 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricales|Omphalotaceae|Gymnopus|Gymnopus_luxurians_FD-317_M1;0;0;0;0;0.0120240994744264;0.00567626669148095;0;0;0;0.250863174509224;0.609339117121715;0.130105577476805;0;0;0;0;0;0.0278513585105578;0.872751579970831;0.00116809224160669;0;0;0;0;0;0;0.00142414720708909;0.0016260162601626;0.0180539443155452;0;0.0127412089020372;0;0;0.0745748821962713;0;0;0;0;0;0;0.0113097618095619;0.0356102068377283;0;0;0;0.499277456647399;0;0;0;0;0;0;0;0;0;0;0.00534731595888277;0;0;0.00114594115037705;0;0
51;51645;f815a48914e176a3e0f4a6bce205b5c41f26190d;378;N;66;97.1;DQ198786.1.1576 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Pucciniomycetes|Platygloea_pustulata;0;0.00197339570238269;0;0.110651300435483;0.00312780412767594;0.00155864700134928;0.00538541204320166;0.0279332400559664;0.00355890649302718;0;0;0;0.0800664211970255;0;0;0;0.00158911772184083;0.0060294154746588;0.00179265921244531;0.0197445269226421;0.0924566443238642;0.0363353307484432;0;0;0;0;0;0;0.00157095901005414;0;0.0486451959927385;0;0.0104094378903539;0.00662432561633545;0;0;0;0.016347205433719;0;0;0;0.00113725211457815;0;0;0;0;0;0;0;0;0;0;0.00160527571695084;0;0.663180312352106;0;0.00929290831689336;0;0.00447240379417113;0;0.00922035128026845;0.00456071976450102
55;45365;b812e74232108d3685263df83979f67deaf6134b;377;N;95;97.9;KF993708.1.1762 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Archaeorhizomycetes|Archaeorhizomycetales|Archaeorhizomycetaceae|Archaeorhizomyces|Archaeorhizomyces_borealis;0.00264329837667002;0;0;0.019079469720665;0.00576849121907448;0;0;0.00179892064761143;0.00814594152848443;0;0;0;0;0;0;0;0;0.0103685764020283;0;0;0;0;0;0;0.00138202306915431;0.00642269063321695;0;0;0;0;0;0;0;0;0;0.00172651933701657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00855501092324356;0;0;0;0;0.00737202782680926;0;0;0;0;0
59;44867;407220f912642480ff013737a9ed51c4f4c8744f;380;N;77;93.9;MF461290.1.1281 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Atractiellomycetes|Atractiellales|Atractidochium|Atractidochium_hillariae;0.00899296078149691;0;0;0;0.00497372131777977;0.00283813334574047;0.00822606894511022;0.0205876474115531;0.0200616877125458;0;0.0486093391171217;0.00127972699157513;0;0;0.0178542043771598;0;0.0963005339435545;0.196977723958728;0.00947982498784638;0;0.017874241940632;0;0;0.0904347826086957;0.0411683410407697;0;0.238917648122612;0.0371660859465738;0.1743281129157;0.022641985430923;0;0.0125740713976008;0.0298403886190146;0.0716383254797514;0.131672286202216;0.354627071823204;0.0319611470860314;0;0.00322154453151865;0;0.00337008053921289;0.00554410405856848;0;0;0.158256880733945;0.0122832369942197;0.00587084148727984;0;0.0145518044237485;0.00442404006677796;0;0;0.00249468523580199;0;0;0;0;0;0;0;0.00129991837721817;0.00236328205978689
62;38384;f14fc799a81b3470fc0101f4e015cf2ab22d2cdf;377;N;94;97.6;GU568161.1.1540 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|uncultured_fungus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00104347826086957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00158597662771285;0;0;0;0;0;0;0;0;0;0;0;0
56;37046;d689d925cc0aa6cc170ed1ea637e2c2b72b5d2bc;377;N;99;97.1;KF993708.1.1762 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Archaeorhizomycetes|Archaeorhizomycetales|Archaeorhizomycetaceae|Archaeorhizomyces|Archaeorhizomyces_borealis;0;0;0;0.00413829608064865;0;0;0;0;0;0;0;0.00127972699157513;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00590542695805854;0;0.00272108843537415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00212854324576887;0;0;0;0;0
68;36104;e5adf2ccef3e142b86a7d0a608d77bfd1b721421;378;N;47;98.1;JF706311.1.1771 Eukaryota|Amorphea|Obazoa|Opisthokonta|Nucletmycea|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricales|Entolomataceae|Richoniella|Richoniella_asterospora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00405189878874089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00223237462361126;0;0;0;0;0
