SampleID;Date sampling;Site;Replicate;Plant species;Mass_sample_mg;Family;origin
L143;16/07/2019;Grand brule;R3;Stachytarpheta jamaicensis;44;Verbenaceae;exotic
L144;17/07/2019;Plaine des palmistes;R3;Benthamia africana;40;Orchidaceae;native
L145;17/07/2019;Plaine des palmistes;R2;Tristemma mauritianum;73;Melastomataceae;native
L146;18/07/2019;Dimitile;R3;Hyparrhenia rufa;84;Poaceae;native
L147;17/07/2019;Plaine des palmistes;R1;Stoebe passerinoides;31;Asteraceae;native
L148;17/07/2019;Plaine des palmistes;R3;Lycopodiella caroliniana;39;Lycopodiaceae;native
L149;17/07/2019;Plaine des palmistes;R3;Benthamia africana;12;Orchidaceae;native
L150;17/07/2019;Plaine des palmistes;R3;Lycopodiella cernua;22;Lycopodiaceae;native
L151;17/07/2019;Plaine des palmistes;R2;Dicranopteris linearis;74;Gleicheniaceae;native
L152;17/07/2019;Plaine des palmistes;R3;Lycopodiella caroliniana;25;Lycopodiaceae;native
L153;18/07/2019;Dimitile;R3;Stoebe passerinoides;34;Asteraceae;native
L154;16/07/2019;Grand brule;R1;Costularia melicoides;36;Cyperaceae;native
L155;17/07/2019;Plaine des palmistes;R3;Erica reunionensis;42;Ericaceae;native
L156;16/07/2019;Grand brule;R1;Miconia crenata;46;Melastomataceae;invasive
L157;16/07/2019;Grand brule;R1;Desmodium ramosissimum;46;Fabaceae;native
L158;17/07/2019;Plaine des palmistes;R1;Polytrichum commune;40;Polytrichaceae;native
L160;18/07/2019;Dimitile;R2;Phylica nitida;44;Rhamnaceae;native
L161;18/07/2019;Dimitile;R1;Dicranopteris linearis;33;Gleicheniaceae;native
L162;16/07/2019;Grand brule;R2;Lycopodiella cernua;25;Lycopodiaceae;native
L163;16/07/2019;Grand brule;R2;Tristemma mauritianum;83;Melastomataceae;native
L164;16/07/2019;Grand brule;R2;Dicranopteris linearis;100;Gleicheniaceae;native
L165;16/07/2019;Grand brule;R3;Desmodium incanum;31;Fabaceae;exotic
L166;16/07/2019;Grand brule;R1;Costularia melicoides;59;Cyperaceae;native
L167;16/07/2019;Grand brule;R2;Dicranopteris linearis;76;Gleicheniaceae;native
L168;18/07/2019;Dimitile;R3;Dicranopteris linearis;69;Gleicheniaceae;native
L169;18/07/2019;Dimitile;R2;Polytrichum commune;60;Polytrichaceae;native
L170;17/07/2019;Plaine des palmistes;R1;Benthamia africana;23;Orchidaceae;native
L171;18/07/2019;Dimitile;R2;Phylica nitida;39;Rhamnaceae;native
L172;16/07/2019;Grand brule;R2;Nephrolepis abrupta;41;Nephrolepidaceae;native
L173;18/07/2019;Dimitile;R3;Stoebe passerinoides;81;Asteraceae;native
L174;16/07/2019;Grand brule;R1;Dicranopteris linearis;92;Gleicheniaceae;native
L175;17/07/2019;Plaine des palmistes;R1;Machaerina iridifolia;80;Cyperaceae;native
L176;16/07/2019;Grand brule;R2;Desmodium incanum;40;Fabaceae;exotic
L177;16/07/2019;Grand brule;R1;Arundina graminifolia;96;Orchidaceae;invasive
L178;16/07/2019;Grand brule;R1;Lycopodiella cernua;88;Lycopodiaceae;native
L179;18/07/2019;Dimitile;R2;Lycopodium clavatum;52;Lycopodiaceae;native
L180;17/07/2019;Plaine des palmistes;R3;Machaerina iridifolia;72;Cyperaceae;native
L182;16/07/2019;Grand brule;R3;Psidium cattleianum;36;Myrtaceae;invasive
L183;18/07/2019;Dimitile;R2;Polytrichum commune;72;Polytrichaceae;native
L184;17/07/2019;Plaine des palmistes;R3;Ipomea sp.1;46;Convolvulaceae;exotic
L185;16/07/2019;Grand brule;R1;Nephrolepis abrupta;16;Nephrolepidaceae;native
L186;18/07/2019;Dimitile;R2;Dicranopteris linearis;36;Gleicheniaceae;native
L187;16/07/2019;Grand brule;R1;Arundina graminifolia;78;Orchidaceae;invasive
L188;16/07/2019;Grand brule;R1;Desmodium incanum;50;Fabaceae;exotic
L189;18/07/2019;Dimitile;R3;Dicranopteris linearis;41;Gleicheniaceae;native
L190;17/07/2019;Plaine des palmistes;R3;Juncus effusus;74;Juncaceae;native
L191;17/07/2019;Plaine des palmistes;R2;Machaerina iridifolia;33;Cyperaceae;native
L192;18/07/2019;Dimitile;R1;Lycopodium clavatum;33;Lycopodiaceae;native
L193;17/07/2019;Plaine des palmistes;R3;Erica reunionensis;48;Ericaceae;native
L194;16/07/2019;Grand brule;R1;Lycopodiella cernua;48;Lycopodiaceae;native
L195;17/07/2019;Plaine des palmistes;R2;Dicranopteris linearis;81;Gleicheniaceae;native
L196;16/07/2019;Grand brule;R2;Lycopodiella cernua;58;Lycopodiaceae;native
L197;16/07/2019;Grand brule;R2;Psidium cattleianum;63;Myrtaceae;invasive
L198;17/07/2019;Plaine des palmistes;R1;Rhynchospora rugosa;60;Cyperaceae;native
L199;16/07/2019;Grand brule;R3;Desmodium incanum;39;Fabaceae;exotic
L200;17/07/2019;Plaine des palmistes;R2;Polytrichum commune;54;Polytrichaceae;native
L202;16/07/2019;Grand brule;R2;Tristemma mauritianum;74;Melastomataceae;native
L203;16/07/2019;Grand brule;R2;Desmodium ramosissimum;30;Fabaceae;native
L204;17/07/2019;Plaine des palmistes;R3;Rhynchospora rugosa;65;Cyperaceae;native
L205;17/07/2019;Plaine des palmistes;R1;Rhynchospora rugosa;65;Cyperaceae;native
L206;18/07/2019;Dimitile;R3;Hyparrhenia rufa;77;Poaceae;native
L217;18/07/2019;Dimitile;R1;Erica reunionensis;60;Ericaceae;native
L218;18/07/2019;Dimitile;R2;Phylica nitida;46;Rhamnaceae;native
L219;18/07/2019;Dimitile;R2;Polytrichum commune;6;Polytrichaceae;native
L220;18/07/2019;Dimitile;R2;Erica reunionensis;55;Ericaceae;native
L221;18/07/2019;Dimitile;R2;Erica reunionensis;20;Ericaceae;native
L222;18/07/2019;Dimitile;R2;Polytrichum commune;7;Polytrichaceae;native
L223;18/07/2019;Dimitile;R1;Erica reunionensis;46;Ericaceae;native
L224;18/07/2019;Dimitile;R1;Stoebe passerinoides;40;Asteraceae;native
L225;18/07/2019;Dimitile;R1;Phylica nitida;15;Rhamnaceae;native
L226;18/07/2019;Dimitile;R2;Phylica nitida;50;Rhamnaceae;native
L227;18/07/2019;Dimitile;R1;Stoebe passerinoides;44;Asteraceae;native
L228;18/07/2019;Dimitile;R2;Stoebe passerinoides;17;Asteraceae;native
L230;18/07/2019;Dimitile;R2;Polytrichum commune;2;Polytrichaceae;native
L231;18/07/2019;Dimitile;R1;Lycopodium clavatum;26;Lycopodiaceae;native
L232;18/07/2019;Dimitile;R2;Phylica nitida;2;Rhamnaceae;native
L233;18/07/2019;Dimitile;R1;Stoebe passerinoides;9;Asteraceae;native
L234;18/07/2019;Dimitile;R1;Stoebe passerinoides;14;Asteraceae;native
L235;18/07/2019;Dimitile;R2;Stoebe passerinoides;2;Asteraceae;native
L236;18/07/2019;Dimitile;R1;Erica reunionensis;25;Ericaceae;native
L237;18/07/2019;Dimitile;R1;Stoebe passerinoides;2;Asteraceae;native
L238;18/07/2019;Dimitile;R2;Erica reunionensis;47;Ericaceae;native
L239;18/07/2019;Dimitile;R1;Lycopodium clavatum;18;Lycopodiaceae;native
L241;18/07/2019;Dimitile;R1;Erica reunionensis;10;Ericaceae;native
L242;18/07/2019;Dimitile;R2;Dicranopteris linearis;20;Gleicheniaceae;native
L243;18/07/2019;Dimitile;R2;Erica reunionensis;45;Ericaceae;native
L244;18/07/2019;Dimitile;R1;Erica reunionensis;50;Ericaceae;native
L245;18/07/2019;Dimitile;R2;Phylica nitida;16;Rhamnaceae;native
L246;18/07/2019;Dimitile;R1;Stoebe passerinoides;9;Asteraceae;native
L247;18/07/2019;Dimitile;R2;Polytrichum commune;7;Polytrichaceae;native
L248;18/07/2019;Dimitile;R1;Phylica nitida;26;Rhamnaceae;native
L249;18/07/2019;Dimitile;R1;Phylica nitida;5;Rhamnaceae;native
L250;18/07/2019;Dimitile;R1;Erica reunionensis;15;Ericaceae;native
L251;18/07/2019;Dimitile;R2;Stoebe passerinoides;13;Asteraceae;native
L252;18/07/2019;Dimitile;R1;Erica reunionensis;4;Ericaceae;native
L253;18/07/2019;Dimitile;R1;Lycopodium clavatum;2;Lycopodiaceae;native
L254;18/07/2019;Dimitile;R1;Phylica nitida;5;Rhamnaceae;native
L255;18/07/2019;Dimitile;R1;Erica reunionensis;5;Ericaceae;native
L256;18/07/2019;Dimitile;R1;Phylica nitida;14;Rhamnaceae;native
